| hex | Oct |  Binary  | int | char|
|   40|  100|   1000000|   64|    @|
|   41|  101|   1000001|   65|    A|
|   42|  102|   1000010|   66|    B|
|   43|  103|   1000011|   67|    C|
|   44|  104|   1000100|   68|    D|
|   45|  105|   1000101|   69|    E|
|   46|  106|   1000110|   70|    F|
|   47|  107|   1000111|   71|    G|
|   48|  110|   1001000|   72|    H|
|   49|  111|   1001001|   73|    I|
|   4a|  112|   1001010|   74|    J|
|   4b|  113|   1001011|   75|    K|
|   4c|  114|   1001100|   76|    L|
|   4d|  115|   1001101|   77|    M|
|   4e|  116|   1001110|   78|    N|
|   4f|  117|   1001111|   79|    O|
|   50|  120|   1010000|   80|    P|
|   51|  121|   1010001|   81|    Q|
|   52|  122|   1010010|   82|    R|
|   53|  123|   1010011|   83|    S|
|   54|  124|   1010100|   84|    T|
|   55|  125|   1010101|   85|    U|
|   56|  126|   1010110|   86|    V|
|   57|  127|   1010111|   87|    W|
|   58|  130|   1011000|   88|    X|
|   59|  131|   1011001|   89|    Y|
|   5a|  132|   1011010|   90|    Z|
|   5b|  133|   1011011|   91|    [|
|   5c|  134|   1011100|   92|    \|
|   5d|  135|   1011101|   93|    ]|
|   5e|  136|   1011110|   94|    ^|
|   5f|  137|   1011111|   95|    _|
